episode_id,title,season,doctorid,description,is_earth,is_past,is_present,is_future,is_outside_time,Producer,Director,Writer,Music,Has 10,Has 11,Has 12,Has 13,Has 9,Has Amy Pond,Has Bill,Has Clara,Has Cyberman,Has Dalek,Has Danny Pink,Has Donna Noble,Has Grace,Has Graham O'Brien,Has Jackie Tyler,Has Jenny Flint,Has Judoon,Has Kate Lethbridge-Stewart,Has Madame Kovarian,Has Madame Vastra,Has Martha Jones,Has Mickey Smith,Has Nardole,Has Ood,Has Osgood,Has River Song,Has Rory,Has Rose Tyler,Has Ryan Sinclair,Has Sarah Jane Smith,Has Sontaran,Has Sophie,Has The Master,Has The Silent,Has The War Doctor,Has Weeping Angel,Has Winston Churchill,Has Yasmin Khan,Has Zygon,date,rating,views,Aired_Fri,Aired_Mon,Aired_Sat,Aired_Sun,Aired_Tue
5.09,Cold Blood,5,11,"The Doctor and Nasreen Chaudry go deep underground and find an ancient society that has been disturbed by the drilling. They are gassed and taken prisoner just as Amy manages to free herself. The military commander of the underground reptilians, Restac, is convinced that the ""apes' - their term for humans - are an invading force. Calmer heads prevail and the Doctor manages to negotiate a truce pending the transfer of prisoners which he, and some of the more pacifist members of the reptilians, hopes will lead to a lasting peace. The only problem is that Alaya, the ...",0,0,0,0,0,Peter Bennett,Ashley Way,Chris Chibnall,Murray Gold,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-05-29,7.5,7.49,0,0,1,0,0
5.1,Vincent and the Doctor,5,11,The Doctor and Amy travel back in time to meet Vincent Van Gogh and face an invisible monster that only the painter can see.,0,0,0,0,0,Patrick Schweitzer,Jonny Campbell,Richard Curtis,Murray Gold,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-06-05,9.3,6.76,0,0,1,0,0
5.11,The Lodger,5,11,"No sooner does the TARDIS land on Earth that it leaves again - but without the Doctor who had just stepped outside. The Doctor soon finds himself at the home of Craig Owens, who has been advertising for a lodger. There's clearly something odd in the house with people being lured to the upstairs room, but never reappearing. The Doctor is having a good time of it and is having a bit of fun; he proves to be a rather good football player. Craig the landlord is very much in love with Sophie but can't quite bring himself to tell her. The Doctor tries to help them out. But ...",0,0,0,0,0,Tracie Simpson,Catherine Morshead,Gareth Roberts,Murray Gold,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-06-12,8.3,6.44,0,0,1,0,0
5.12,The Pandorica Opens,5,11,"River Song returns to deliver The Doctor a serious warning from his allies: the mythical Pandorica, said to contain the most feared creature in the entire Universe, is opening.",0,0,0,0,0,Peter Bennett,Toby Haynes,Steven Moffat,Murray Gold,0,1,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010-06-19,9.1,7.58,0,0,1,0,0
5.13,The Big Bang,5,11,"The Pandorica opened, silence fell, and now planet Earth is left alone in the universe. Jumping through time, the doctor must figure out a way to bring back those who never were and save his friends from the collapse of reality.",0,0,0,0,0,Peter Bennett,Toby Haynes,Steven Moffat,Murray Gold,0,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-06-26,9.2,6.70,0,0,1,0,0
6.0,A Christmas Carol,6,11,"A space liner, with a large number of passengers aboard, is in difficulties while flying through the atmosphere of an unknown planet. Amy and Rory have been spending some time on board in the honeymoon suite and they quickly appear on deck. Amy calls the doctor for help and the TARDIS soon appears ahead of the ship. However the Doctor cannot save them and the only other option is to land on the planet below. There the Doctor meets a Scrooge like figure by the name of Kazran Sardick, the only person that can save Amy, Rory and all the other lives on the Spacecraft. The...",0,0,0,0,0,Sanne Wohlenberg,Toby Haynes,Steven Moffat,Murray Gold,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-12-25,8.6,12.11,0,0,1,0,0
6.01,The Impossible Astronaut,6,11,"The Doctor, Amy, Rory and River Song are reunited in the Utah desert.",0,0,0,0,0,Marcus Wilson,Toby Haynes,Steven Moffat,Murray Gold,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-04-23,8.9,8.86,0,0,1,0,0
6.02,Day of the Moon,6,11,The Doctor and his allies mount a rebellion against invaders who have been controlling humanity from the very beginning.,0,0,0,0,0,Marcus Wilson,Toby Haynes,Steven Moffat,Murray Gold,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-04-30,8.9,7.30,0,0,1,0,0
6.03,Curse of the Black Spot,6,11,"The Doctor, Amy and Rory find themselves aboard a marooned pirate ship whose crew is being picked off one by one by a beautiful - and deadly - Siren.",0,0,0,0,0,Marcus Wilson,Jeremy Webb,Steve Thompson,Murray Gold,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-05-07,6.8,7.85,0,0,1,0,0
6.04,The Doctor's Wife,6,11,The Doctor is lured to a sentient asteroid outside of the Universe by a Time Lord distress signal and soon realises his TARDIS is in grave danger.,0,0,0,0,0,Sanne Wohlenberg,Richard Clark,Neil Gaiman,Murray Gold,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-05-14,9.0,7.97,0,0,1,0,0
